Zone,Coastguard,CRT_Mnemno,CRO_Complement,CRO_Comp_1,Search,Rope,Mud,Enhanced,Water,Vehicle,Estate,Lat,Long,Notes
21,Beer Coastguard,BERCRT,13,13,Y,Y,N,N,Y,Y,"Common Lane, Beer, Devon, EX12 3AG",50.695834,-3.092676, 
22,Dartmouth CRT,DMCRT,12,12,Y,Y,N,N,Y,Y,"Bidders Close, Stoke Fleming, Dartmouth, TQ6 0NZ",50.325878,-3.59737, 
22,Prawle Point CRT,PQCRT,12,12,Y,Y,N,N,Y,Y,"School  Lane, East Prawle, Kingsbridge, TQ7 2DF",50.217502,-3.710573,Restricted for Rope Rescue (02/10/2014 due to revalidation) and vacancies.
22,Hope Cove CRT,HCCRT,14,14,Y,Y,N,N,Y,Y,"Bolberry Road, Inner Hope, Kingsbridge, TQ7 5HW",50.239061,-3.83747,Hope Cove CRT members form the crew for the Hope Cove Rescue Boat.
22,Bigbury CRT,BBCRT,12,12,Y,Y,N,N,Y,Y,"SX 664471, TQ7 4HQ",50.309847,-3.877605, 
23,Yealm Coastguard Rescue Team,YMCRT,12,12,Y,Y,N,N,Y,Y,"Collarton Park, Yealmpton, Plymouth, PL8 2NE",50.329878,-4.011823,Restricted due to availability and vacancies
23,Plymouth Coastguard Rescue Team,PHCRT,12,12,Y,Y,N,N,Y,Y,"Church Hill Road, Hooe, Plymouth, PL9 9SE",50.353763,-4.114977,Restricted due to availability and vacancies.
23,Tamar Coastguard Rescue Team,TACRT,14,14,Y,Y,N,N,Y,Y,"Units 5 & 6, Carew Wharf Business Centre, Marine Drive, Torpoint, PL11 2RF",50.372858,-4.195313,"Teams in South East Cornwall Sector currently do not have Water Rescue Equipment/Training. Restricted due to vacancies, low manning"
23,Looe Coastguard Rescue Team,LOOCRT,12,12,Y,Y,N,N,Y,Y,"MARINE DRIVE, HANNAFORE, WEST LOOE, PL13 2DJ",50.344703,-4.456328,Teams in South East Cornwall Sector currently do not have Water Rescue Equipment/Training.
23,Polruan Coastguard Rescue Team,PNCRT,8,8,Y,N,N,N,Y,Y,"ST Saviours Hill, Polruan- by-Fowey, PL23 1PR",50.327902,-4.63685,CRT offline for Rope Rescue. Teams in South East Cornwall Sector currently do not have Water Rescue Equipment/Training.
23,St Austell Coastguard Rescue Team,SACRT,12,12,Y,Y,N,N,Y,Y,"Unit 3 Square Sail House, Charlestown Road, Charlestown, St.Austell, PL25 3NP",50.331596,-4.757738,Teams in South East Cornwall Sector currently do not have Water Rescue Equipment/Training.
23,Mevagissey Coastguard Rescue Team,MVCRT,12,12,Y,Y,N,N,Y,Y,"CRV kept at Home address of Station OfficerTrewin, Tregoney Hill, Mevagissey, PL26 6RJ",50.269604,-4.794264,Teams in South East Cornwall Sector currently do not have Water Rescue Equipment/Training.
23,Portscatho Cliff Rescue Team,PSCOCRT,7,7,Y,Y,N,N,Y,Y,"Treventon Road, Portscatho, Cornwall, TR2 5DX.  SW874354",50.181085,-4.977421,"Back up for Falmouth in event of mud rescue. Page from Falmouth, Trevose and Rame Aerials as team in blackspot."
23,Falmouth Cliff Rescue Team,FALCRT,8,8,Y,Y,Y,N,Y,Y,"Port Pendennis, Tinners Walk Falmouth TR11 3XZ. SW815323",50.151083,-5.059104,"Mud Rescue Team, Provide HLS for aircraft unable to land at Treliske hospital Truro."
23,Porthoustock Cliff Rescue Team,PHTKCRT,11,11,Y,Y,N,N,Y,Y,"Unit 2, Treskewes Industrial Estate, St Keverne, Nr Helston, Cornwall, TR12 6NN",50.049991,-5.088153,Back up for Falmouth CRT in the event of mud rescue.
26,Hartland,HDCRT,12,12,Y,Y,Y,N,Y,Y,"HM Coastguard, East Down, Hartland, North Devon, EX39 6AQ",50.990598,-4.461015, 
26,Westward Ho!,WWCRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, Golf Links Road, Westward Ho, Bideford, EX39 1LH",51.041379,-4.236407,They are mud rescue trained but not equipped with mud rescue equipment
26,Instow,INWIRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, Marine Parade, Instow, Bideford, EX39 4HW",51.051409,-4.181627,They are rope rescue trained but not equipped with rope rescue equipment
26,Croyde,CDCRT,12,12,Y,Y,N,N,Y,Y,"HM Coastguard, Lane Head Close, Croyde, Braunton, North Devon EX33 1NW",51.133821,-4.227621, 
26,Lundy CRT,LUNCRT,11,11,Y,N,N,N,Y,Y,"Lundy Island, Bristol Channel, Via Bideford, EX39 2LY",51.164734,-4.662244,They use the multi responder fire 4 x 4 as their CRV and make use of their own vehicles. Also bound to Lundy Island.
26,Mortehoe,MHCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, North Morte Road, Mortehoe, Woolacombe, North Devon, EX34 7ED",51.187154,-4.207611, 
26,Ilfracombe,ILFCRT,12,12,Y,Y,N,N,Y,Y,"H.M. Coastguard, Watermouth Road, Ilfracombe, North Devon, EX34 9RU",51.215332,-4.087001, 
27,Lynmouth CRT,LYNCRT,11,11,Y,Y,N,N,Y,Y,"Unit 1A, Craft Workshops, Watersmeed  Road, Lynmouth, North Devon EX35 6EP",51.228959,-3.827237,Use Page One paging system
27,Minehead,MHDCRT,11,11,Y,Y,N,N,Y,Y,"Unit A, 37 - 41 Alcombe Road, Minehead, Somerset, TA24 6BA",51.198493,-3.469046, 
27,Watchet,WATCRT,11,11,Y,Y,Y,N,Y,Y,"Esplanade Lane, Watchet, Somerset, TA23 0AH",51.181985,-3.329857, 
27,Burnham,BURCRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, South Esplanade, Burnham On Sea, TA8 1BU",51.232254,-2.999982, 
27,Weston Super Mare,WSMCRT,13,13,Y,Y,Y,N,Y,Y,"Laney''s Drove, Locking, Weston Super Mare, North Somerset, BS24 8PP",51.338044,-2.930776, 
27,Clevedon,CLVCRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, The Promenade, Elton Road, Clevdon, BS21 7RH",51.436992,-2.865684, 
27,Portishead,PHDCRT,11,11,Y,N,Y,N,Y,Y,"HM Coastguard, Area 13, Groundfloor, Albright and Wilson Building, Portishead Quay, Portishead, BS20 7BS",51.49259,-2.761832, 
27,Sharpeness,SNSCRT,11,11,Y,N,Y,N,Y,Y,"HM Coastguard, Severn Road, Sharpness, Gloucester, GL13 9UA",51.715556,-2.481951, 
27,Chepstow,CTWIRT,11,11,Y,N,N,Y,Y,Y,"HM Coastguard, Beachley Slip, Beachley, Chepstow, NP6 7HH",51.613433,-2.648425,They are mud rescue trained but don't have mud equipment
27,Penarth,PENCRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, Cliff Parade, Penarth, South Glamorgan, CF64 5BP",51.427964,-3.17185, 
27,Barry Island,BICRT,11,11,Y,Y,Y,N,Y,Y,"72 Redbrink Crescent, Barry Island, CF6 8TU",51.392677,-3.266293, 
27,Llantwit Major,LMCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Llanmaes Rd, Llantwit Major, Vale of Glamorgan CF61 2XD",51.411137,-3.480411, 
27,Porthcawl,PCCRT,11,11,Y,Y,N,Y,Y,Y,"HM Coastguard, 20a Lock`s Lane, Newton, Porthcawl, CF36 3HY",51.484438,-3.714305, 
27,Port Talbot,PTCRT,11,11,Y,N,Y,N,Y,Y,"HM Coastguard, Princess Margaret Way, Aberafan Seafront, Port Talbot, SA12 6QW",51.591675,-3.812785, 
28,Mumbles CRT,MMCRT,15,15,Y,Y,N,N,Y,Y,"HM Coastguard, Myrtle Terrace, Mumbles, Swansea, SA3 4DT",51.572807,-3.996159, 
28,Oxwich CRT,OXCRT,7,7,Y,N,N,N,Y,Y,"HM Coastguard, Oxwich, Gower, SA3 1LS",51.558411,-4.16937, 
28,Rhossili CRT,RSCRT,15,15,Y,Y,N,N,Y,Y,"HM Coastguard, Coastguard Cottages, Rhossili, Swansea, SA3 1PR",51.568906,-4.290003, 
28,Lougher IRT,LOIRT,7,7,Y,N,N,N,Y,Y,"HM Coastguard, Pontaedulais Road, Swansea, SA4 4FE",51.670025,-4.041749, 
28,Burry Port CRT,BPCRT,12,12,Y,N,Y,N,Y,Y,"HM Coastguard, Harbour Workshop, East Dock, Burry Port, Carmarthenshire, SA16 0LT",51.679597,-4.247777, 
28,Llansteffan CRT,LSNCRT,15,15,Y,Y,Y,N,Y,Y,"HM Coastguard, The Morfa, Llansteffan, Carmarthenshire, SA33 5LW",51.770255,-4.387168,Coastguard Rescue Dog (Sparky) LSN00
28,Tenby CRT,TBYCRT,20,20,Y,Y,N,N,Y,Y,"H.M. Coastguard, Unit 11, The Salterns, Tenby, Pembrokeshire, SA70 7NJ",51.671238,-4.709646, 
28,St Govan's CRT,SGSCRT,19,19,Y,Y,N,N,Y,Y,"HM Coastguard, Windsor Road, Bosherston, Pembrokeshire, SA71 3RN",51.613382,-4.939423, 
28,Dale CRT,DLECRT,12,12,Y,Y,N,N,Y,Y,"HM Coastguard, Castle Way, Dale, Haverfordwest, Pembrokeshire, SA62 3RN",51.709061,-5.172533, 
28,Broadhaven CRT,BHNCRT,14,14,Y,Y,N,N,Y,Y,"HM Coastguard, Millmoor House, Broad Haven, Haverfordwest, Pembrokeshire, SA62 3JH",51.784479,-5.098705, 
28,St David's CRT,SDSCRT,12,12,Y,Y,N,N,Y,Y,"HM Coastguard, Nun Street, St. Davids, Haverfordwest, Pembrokeshire, SA62 6NU",51.883717,-5.263964, 
28,Fishguard CRT,FGCRT,12,12,Y,Y,N,N,Y,Y,"HM Coastguard, Windy Hall Road, Fishguard, Pembrokeshire, SA65 9DP",51.997919,-4.984108, 
28,Moylegrove CRT,MYLCRT,12,12,Y,Y,N,N,Y,Y,"Moylegrove Coastguard Rescue Station, SA43 3BW",51.663983,-4.076326, 
29,Gwbert,GWCRT,10,10,Y,Y,Y,N,Y,Y,"HM Coastguard, Gwbert on Sea, Cardigan, Ceredigin, SA43 1PP",52.112482,-4.683767,Welsh Dialect is strong limitations are communications in around and up river.
29,New Quay,NQCRT,12,12,Y,Y,N,N,Y,Y,"HM Coastguard, Upper Car Park, Church Road, New Quay, Ceredigion, SA45 9PN",52.213631,-4.362761,Welsh Dialect is strong Various rivers in the area cut the guard and need to know which side of the river the job is. Topography is large open expanse with heavily populated towns which swell in the summer months affecting journey times
29,Aberystwyth,ASCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Castle Street, Aberystwyth, Ceredigion, SY23 1DT",52.414218,-4.087298,Aberystwyth University is located close by and various student activities operate in the area without prior knowledge to CG. Has a significant hot spot called Constitution Hill which has a cliff railway attraction and well known for missing persons. Also
29,BORTH,BORCRT,12,12,Y,Y,Y,N,Y,Y,"HM Coastguard, Canteen Corner, Borth, Ceredigion, SY24 5JP",52.492595,-4.051413,"Extreme delay if paged to back up Aberdovey team, due to long transit inland and over the River Dovey Bridge Has a large area of dunes which are difficult to search The area of the Ynylas estuary used to be a Military Weapons testing range and has regula"
