Occurrence,Lattitude,Longitude,Location,IncidentSu,Vessel,Web,Notes
01/08/2012,53.630739,-0.178871,"Location: Immingham, England.","Contact made by dry cargo vessel Alexander Tvardovskiy with dredger UKD Bluefin, pushing dredger into general cargo vessel Wilson Hawk",Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-multi-purpose-dry-cargo-vessel-alexander-tvardovskiy-with-dredger-ukd-bluefin-pushing-the-dredger-into-general-cargo-vessel-wilson-hawk-in-immingham-england, 
10/08/2012,57.133816,-0.850372,"Location: Audacious: 45 miles east of Aberdeen, Scotland.",Flooding incidents on twin rigged stern trawler Audacious and beam trawler Chloe T resulting in both vessels sinking,Fishing vessel,https://www.gov.uk/maib-reports/flooding-incidents-on-the-twin-rigged-stern-trawler-audacious-45-nautical-miles-east-of-aberdeen-scotland-and-beam-trawler-chloe-t-off-bolt-head-devon-england-resulting-in-both-vessels-sinking, 
14/08/2012,58.779808,-5.300171,"Location: 15nm north-west of Cape Wrath, Scotland.",Fall on foredeck of dive workboat Jean Elaine with loss of 1 life,Merchant vessel under 100 gross tons and 1 others,https://www.gov.uk/maib-reports/fall-on-foredeck-of-dive-workboat-jean-elaine-off-cape-wrath-scotland-with-loss-of-1-life, 
11/09/2012,50.3845,-3.325833,"Location: 6nm east of Berry Head, near Brixham, England.",Capsize and sinking of multipurpose fishing vessel Sarah Jayne with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/capsize-and-sinking-of-multipurpose-fishing-vessel-sarah-jayne-east-of-berry-head-near-brixham-england-with-loss-of-1-life, 
19/09/2012,56.302936,-4.718928,"Location: Ardlui Marina, Loch Lomond, Scotland.",Sinking of small passenger ferry Vixen,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/sinking-of-small-passenger-ferry-vixen-in-ardlui-marina-loch-lomond-scotland, 
02/10/2012,53.624986,-0.113468,"Location: River Humber, England.",Slipped messenger line while securing tug tow wire on bulk carrier Wah Shan with loss of 1 life,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/slipped-messenger-line-during-attempt-to-secure-a-tug-s-tow-wire-on-bulk-carrier-wah-shan-on-river-humber-england-with-loss-of-1-life, 
15/11/2012,51.445903,0.371132,"Location: Denton Wharf, Gravesend Reach on the River Thames, London.",Contact made by bulk carrier Amber with moored barges and its subsequent grounding,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-bulk-carrier-amber-with-moored-barges-and-its-subsequent-grounding-off-denton-wharf-gravesend-reach-on-the-river-thames-london, 
21/11/2012,53.478167,0.217333,"Locations: Floating target at Donna Nook Air Weapons Range off Lincolnshire, England.",Contact made by wind farm passenger transfer catamarans: Windcat 9 with floating target and Island Panther with turbine,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/contact-made-by-wind-farm-passenger-transfer-catamarans-windcat-9-with-a-floating-target-at-donna-nook-air-weapons-range-off-lincolnshire-england-and-island-panther-with-a-turbine-at-sheringham-shoal-wind-farm-off-north-no, 
05/12/2012,54.099306,-6.257744,"Location: Warrenpoint, Northern Ireland.",Release of phosphine gas during discharge of fumigated maize cargo from general cargo vessel Arklow Meadow,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/release-of-phosphine-gas-during-discharge-of-fumigated-maize-cargo-from-general-cargo-vessel-arklow-meadow-at-warrenpoint-northern-ireland, 
13/01/2013,50.463783,-3.477259,"Location: Off Hope's Nose, Tor Bay, England.","Collision between tug Christos XXII and its tow, former fisheries protection vessel Emsstrom which later sank", , , 
16/01/2013,55.3925,-5.255,"Location: Off the Isle of Arran, Scotland.",Fire in engine room of twin-rig prawn stern trawler Amy Harris III,Fishing vessel,https://www.gov.uk/maib-reports/fire-in-engine-room-of-twin-rig-prawn-stern-trawler-amy-harris-iii-off-the-isle-of-arran-scotland, 
28/01/2013,51.625485,-5.180054,"Location: Off Saint Ann’s Head, Milford Haven, Wales.",Person overboard from beam trawler Vidar with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/person-overboard-from-beam-trawler-vidar-off-saint-ann-s-head-milford-haven-wales-with-loss-of-1-life, 
28/01/2013,50.453179,-3.505197,"Location: Tor Bay, England.",Sinking in heavy weather of under 12m netter JCK with loss of 1 life,Fishing vessel,https://www.gov.uk/maib-reports/sinking-in-heavy-weather-of-under-12m-netter-jck-in-tor-bay-england-with-loss-of-1-life, 
30/01/2013,53.321964,-3.261897,"Accident occurred when the French registered ship broke free from its moorings in the Port of Mostyn, Wales.",Grounding of ro-ro cargo vessel Ciudad De Cadiz,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-ro-ro-cargo-vessel-ciudad-de-cadiz, 
05/02/2013,50.728817,0.197517,"Location: 2.3 miles west-south-west of Beachy Head, England.",Person overboard from motor tug Endurance while crossing to unmanned motor cruiser Sirius M with loss of 1 life,Merchant vessel under 100 gross tons,https://www.gov.uk/maib-reports/person-overboard-from-the-motor-tug-endurance-while-attempting-to-cross-to-unmanned-motor-cruiser-sirius-m-near-beachy-head-england-with-loss-of-1-life, 
