Distance,Knots,Shannon,Severn,Trent,Tyne,Mersey,E_Class,D_Class,B_Class,Arancia,Atlantic_75_B_Class,Atlantic_85_B_Class,Tamar,Station,Shape_Length,Shape_Area,Station_ID
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BERWICK-UPON-TWEED,1.432983,0.043228,3029
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BERWICK-UPON-TWEED,2.300561,0.108797,3029
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BERWICK-UPON-TWEED,3.127314,0.207512,3029
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BERWICK-UPON-TWEED,3.611226,0.295262,3029
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BERWICK-UPON-TWEED,4.237921,0.437847,3029
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SEAHOUSES,1.53668,0.058986,3047
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SEAHOUSES,2.351702,0.144787,3047
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SEAHOUSES,3.319242,0.268638,3047
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SEAHOUSES,4.009975,0.370337,3047
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SEAHOUSES,4.593157,0.528566,3047
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CRASTER,1.262682,0.053864,3065
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CRASTER,2.283418,0.133965,3065
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CRASTER,3.163613,0.252257,3065
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CRASTER,3.66548,0.351467,3065
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CRASTER,4.501583,0.508828,3065
8,16,0,0,0,1,1,0,0,0,0,0,0,0,AMBLE,1.234073,0.046568,3083
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,AMBLE,1.870091,0.114175,3083
17,34,0,0,0,0,0,0,0,1,0,0,0,0,AMBLE,2.749283,0.214049,3083
20,40,0,0,0,0,0,1,0,0,0,0,0,0,AMBLE,3.331845,0.299933,3083
24,48,0,0,0,0,0,0,0,0,0,0,0,0,AMBLE,4.498048,0.439664,3083
8,16,0,0,0,1,1,0,0,0,0,0,0,0,NEWBIGGIN,1.274485,0.052201,3101
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,NEWBIGGIN,2.167315,0.122206,3101
17,34,0,0,0,0,0,0,0,1,0,0,0,0,NEWBIGGIN,3.182778,0.219114,3101
20,40,0,0,0,0,0,1,0,0,0,0,0,0,NEWBIGGIN,3.984655,0.301002,3101
24,48,0,0,0,0,0,0,0,0,0,0,0,0,NEWBIGGIN,5.11831,0.431683,3101
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BLYTH,1.369557,0.046833,3120
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BLYTH,2.231734,0.112997,3120
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BLYTH,3.653964,0.211229,3120
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BLYTH,4.499152,0.291793,3120
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BLYTH,5.214345,0.419686,3120
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CULLERCOATS,1.803055,0.049724,3148
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CULLERCOATS,3.06587,0.120655,3148
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CULLERCOATS,4.093091,0.222566,3148
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CULLERCOATS,4.590136,0.30569,3148
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CULLERCOATS,5.324077,0.435031,3148
8,16,0,0,0,1,1,0,0,0,0,0,0,0,TYNEMOUTH,1.80755,0.043383,3156
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,TYNEMOUTH,3.283979,0.112271,3156
17,34,0,0,0,0,0,0,0,1,0,0,0,0,TYNEMOUTH,4.08181,0.210859,3156
20,40,0,0,0,0,0,1,0,0,0,0,0,0,TYNEMOUTH,4.390024,0.291579,3156
24,48,0,0,0,0,0,0,0,0,0,0,0,0,TYNEMOUTH,5.182977,0.418583,3156
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SUNDERLAND,1.70267,0.047901,3167
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SUNDERLAND,2.625898,0.119169,3167
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SUNDERLAND,3.822578,0.218562,3167
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SUNDERLAND,4.736262,0.299755,3167
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SUNDERLAND,5.713897,0.423369,3167
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HARTLEPOOL,1.730703,0.051176,3210
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HARTLEPOOL,2.621334,0.112502,3210
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HARTLEPOOL,3.671373,0.193784,3210
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HARTLEPOOL,4.355748,0.260116,3210
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HARTLEPOOL,5.332126,0.367008,3210
8,16,0,0,0,1,1,0,0,0,0,0,0,0,REDCAR,1.713511,0.047365,3231
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,REDCAR,2.68065,0.108231,3231
17,34,0,0,0,0,0,0,0,1,0,0,0,0,REDCAR,3.533647,0.193974,3231
20,40,0,0,0,0,0,1,0,0,0,0,0,0,REDCAR,4.131869,0.26405,3231
24,48,0,0,0,0,0,0,0,0,0,0,0,0,REDCAR,4.878682,0.375047,3231
8,16,0,0,0,1,1,0,0,0,0,0,0,0,STAITHES AND RUNSWICK,1.166088,0.054456,3249
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,STAITHES AND RUNSWICK,1.855922,0.130508,3249
17,34,0,0,0,0,0,0,0,1,0,0,0,0,STAITHES AND RUNSWICK,3.110555,0.241833,3249
20,40,0,0,0,0,0,1,0,0,0,0,0,0,STAITHES AND RUNSWICK,3.734973,0.332317,3249
24,48,0,0,0,0,0,0,0,0,0,0,0,0,STAITHES AND RUNSWICK,4.615809,0.475639,3249
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WHITBY,1.230631,0.053441,3276
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WHITBY,1.877346,0.132836,3276
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WHITBY,2.541133,0.251563,3276
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WHITBY,2.945812,0.34991,3276
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WHITBY,4.125824,0.505084,3276
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SCARBOROUGH,0.947492,0.041821,3298
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SCARBOROUGH,1.475331,0.103955,3298
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SCARBOROUGH,2.280795,0.194362,3298
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SCARBOROUGH,2.844387,0.281345,3298
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SCARBOROUGH,3.474077,0.426899,3298
8,16,0,0,0,1,1,0,0,0,0,0,0,0,FILEY,1.006309,0.046703,3319
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,FILEY,1.692266,0.113048,3319
17,34,0,0,0,0,0,0,0,1,0,0,0,0,FILEY,2.375657,0.222548,3319
20,40,0,0,0,0,0,1,0,0,0,0,0,0,FILEY,2.770134,0.314003,3319
24,48,0,0,0,0,0,0,0,0,0,0,0,0,FILEY,3.437231,0.460439,3319
8,16,0,0,0,1,1,0,0,0,0,0,0,0,FLAMBOROUGH,1.246679,0.062528,3337
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,FLAMBOROUGH,1.843046,0.149253,3337
17,34,0,0,0,0,0,0,0,1,0,0,0,0,FLAMBOROUGH,2.426634,0.268258,3337
20,40,0,0,0,0,0,1,0,0,0,0,0,0,FLAMBOROUGH,2.776665,0.363397,3337
24,48,0,0,0,0,0,0,0,0,0,0,0,0,FLAMBOROUGH,3.230576,0.509003,3337
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BRIDLINGTON,0.95609,0.040211,3355
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BRIDLINGTON,1.562383,0.109331,3355
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BRIDLINGTON,2.148489,0.21031,3355
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BRIDLINGTON,2.5217,0.295319,3355
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BRIDLINGTON,2.983001,0.4276,3355
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WITHERNSEA,0.978188,0.048595,3361
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WITHERNSEA,1.89238,0.134142,3361
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WITHERNSEA,3.201142,0.254332,3361
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WITHERNSEA,3.923365,0.345004,3361
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WITHERNSEA,4.665695,0.481898,3361
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HUMBER,1.986626,0.063511,3373
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HUMBER,3.021776,0.133213,3373
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HUMBER,3.902989,0.234018,3373
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HUMBER,4.546276,0.318399,3373
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HUMBER,5.486964,0.45176,3373
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CLEETHORPES,1.668567,0.035473,3384
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CLEETHORPES,2.701038,0.077028,3384
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CLEETHORPES,3.74382,0.149365,3384
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CLEETHORPES,4.47044,0.214412,3384
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CLEETHORPES,5.4435,0.323672,3384
8,16,0,0,0,1,1,0,0,0,0,0,0,0,MABLETHORPE,1.158406,0.046973,3402
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,MABLETHORPE,2.067569,0.118288,3402
17,34,0,0,0,0,0,0,0,1,0,0,0,0,MABLETHORPE,3.235571,0.23044,3402
20,40,0,0,0,0,0,1,0,0,0,0,0,0,MABLETHORPE,3.874535,0.328417,3402
24,48,0,0,0,0,0,0,0,0,0,0,0,0,MABLETHORPE,4.788765,0.482299,3402
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SKEGNESS,1.203218,0.054439,3424
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SKEGNESS,1.954586,0.140671,3424
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SKEGNESS,4.815772,0.329204,3424
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SKEGNESS,6.630659,0.429052,3424
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HUNSTANTON,1.651551,0.058901,3435
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HUNSTANTON,2.994885,0.137999,3435
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HUNSTANTON,4.867536,0.207483,3435
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HUNSTANTON,6.26279,0.255844,3435
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HUNSTANTON,7.252201,0.333601,3435
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WELLS,2.736236,0.046145,3446
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WELLS,3.462094,0.115215,3446
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WELLS,4.115847,0.221241,3446
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WELLS,4.579013,0.316631,3446
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WELLS,5.519795,0.4609,3446
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SHERINGHAM,1.270336,0.048882,3468
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SHERINGHAM,2.385524,0.123482,3468
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SHERINGHAM,3.308517,0.232963,3468
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SHERINGHAM,4.257263,0.325707,3468
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SHERINGHAM,5.049532,0.476194,3468
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CROMER,1.047631,0.052197,3507
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CROMER,2.176581,0.128818,3507
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CROMER,3.26966,0.241105,3507
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CROMER,3.71967,0.336039,3507
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CROMER,4.958249,0.490368,3507
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HAPPISBURGH,0.961562,0.046887,3531
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HAPPISBURGH,1.561313,0.118733,3531
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HAPPISBURGH,2.232782,0.229826,3531
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HAPPISBURGH,3.033225,0.327959,3531
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HAPPISBURGH,4.830645,0.486637,3531
8,16,0,0,0,1,1,0,0,0,0,0,0,0,GT YARMOUTH & GORLESTON,2.007944,0.045048,3553
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,GT YARMOUTH & GORLESTON,3.928288,0.115946,3553
17,34,0,0,0,0,0,0,0,1,0,0,0,0,GT YARMOUTH & GORLESTON,5.742499,0.225399,3553
20,40,0,0,0,0,0,1,0,0,0,0,0,0,GT YARMOUTH & GORLESTON,6.838332,0.32164,3553
24,48,0,0,0,0,0,0,0,0,0,0,0,0,GT YARMOUTH & GORLESTON,7.702484,0.475703,3553
8,16,0,0,0,1,1,0,0,0,0,0,0,0,LOWESTOFT,1.851493,0.051373,3575
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,LOWESTOFT,4.100515,0.126564,3575
17,34,0,0,0,0,0,0,0,1,0,0,0,0,LOWESTOFT,5.395025,0.235462,3575
20,40,0,0,0,0,0,1,0,0,0,0,0,0,LOWESTOFT,6.334859,0.327598,3575
24,48,0,0,0,0,0,0,0,0,0,0,0,0,LOWESTOFT,7.990057,0.477853,3575
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SOUTHWOLD,1.275303,0.04679,3597
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SOUTHWOLD,2.244488,0.112657,3597
17,34,0,0,0,0,0,0,0,1,0,0,0,0,SOUTHWOLD,4.068946,0.212386,3597
20,40,0,0,0,0,0,1,0,0,0,0,0,0,SOUTHWOLD,5.594802,0.299823,3597
24,48,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHWOLD,7.31936,0.441007,3597
