Equipment_ID,Equipment1,Current_Location,Current_Lat,Current__long,Allocated,Allocated_Lat,Allocate_Long,ON_Number,Lifeboat_No,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service
OB02004613,B-Class A85 Elizabeth Jane Palmer,Flamborough ILB B,54.104724,-0.118987,Flamborough ILB B,54.1047236,-0.118986899, ,B-820,235095911,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,09/08/2007
OB02002067,ON1169 Mersey ALB Marine Engineer,Bridlington ALB,54.076464,-0.199733,Bridlington ALB,54.07646423,-0.199732766,ON1169,12-Dec,232003625,Mersey,Carriage Boat,CarriageBoat,MK1ALALMersey,01/01/1991
OB02005112,D-Class ILB Henley Eight,Withernsea ILB D,53.726104,0.040724,Withernsea ILB D,53.72610431,0.04072364, ,D-701,235096947,D-Class,IB1 variant,IB1,MK2IB1,01/06/2008
OB02002971,ON1269 Severn ALB Daniel L Gibson,Humber ALB,53.5764,0.1107, , , ,ON1269,17-38,235007799,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,13/07/2003
OB02003121,B-Class A75 Dorothy and Kathrine Barr II,Humber ALB,53.5764,0.1107, , , , ,B-783, ,B-Class,Atlantic 75,Atlantic75,MK1Atlantic75,30/11/2006
OB02010346,D-Class ILB James Burgess II,Cleethorpes ILB D,53.55688,-0.023211,Cleethorpes ILB D,53.55687999,-0.023211423, ,D-757,235096972,D-Class,IB1 variant,IB1,MK2IB1,03/12/2012
OB02016848,B-Class A85 Jacqueline Saville,Mablethorpe ILB B,53.3408,0.266,Mablethorpe ILB B,53.3408,0.266, ,B-887, ,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85, 
OB02016862,D-Class ILB Stanley Whiteley Chadwick,Mablethorpe ILB D,53.3408,0.266,Mablethorpe ILB D,53.3408,0.266, ,D-790,235108996,D-Class,IB1 variant,IB1,MK2IB1, 
OB02001277,ON1324 Shannon ALB Joel and April Grunnill,Skegness ALB,53.141765,0.34673,Skegness ALB,53.14176494,0.346730248,ON1324,13-17,235109055,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/01/2016
OB02023336,D-Class ILB Marie Theresa Bertha Barrass,Skegness ILB D,53.141765,0.34673, , , , ,D-792, ,D-Class,IB1 variant,IB1,MK2IB1,21/05/2016
OB02006412,B-Class A85 Spirit of West Norfolk,Hunstanton ILB B,52.9541,0.5026,Hunstanton ILB B,52.9541,0.5026, ,B-848,235109734,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/11/2010
OB02003454,Hovercraft IRH Hunstanton Flyer,Hunstanton ILB H,52.9541,0.5026,Hunstanton ILB H,52.9541,0.5026, ,H-003, ,Hovercraft,Griffon,Griffon,MK1470SAR,28/02/2003
OB02002066,ON1161 Mersey ALB Doris M Mann of Ampthill,Wells ALB,52.972995,0.851732,Wells ALB,52.97299526,0.851731633,ON1161,12-003,232003201,Mersey,Carriage Boat,CarriageBoat,MK1ALALMersey,01/06/1990
OB02023341,D-Class ILB Peter Wilcox,Wells ILB D,52.972995,0.851732,Wells ILB D,52.97299526,0.851731633, ,D-797, ,D-Class,IB1 variant,IB1,MK2IB1,12/07/2016
OB02004474,B-Class A85 The Odd Fellows,Sheringham ILB B,52.945926,1.202744,Sheringham ILB B,52.94592579,1.202743987, ,B-818,235088862,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/06/2007
OB02004337,ON1287 Tamar ALB Lester,Cromer ALB,52.934366,1.301704,Cromer ALB,52.93436626,1.301703614,ON1287,16-Jul,235030385,Tamar,Slipway Boat,SlipwayBoat,MK1Tamar,20/06/2007
OB02006698,D-Class ILB George and Muriel,Cromer ILB D,52.934366,1.301704,Cromer ILB D,52.93436626,1.301703614, ,D-734,235108922,D-Class,IB1 variant,IB1,MK2IB1,15/06/2010
OB02027348,B-Class A85 Howard Bell,Happisburgh ILB B,52.813298,1.556197, , , , ,B-899, ,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,03/04/2017
OB02003399,D-Class ILB Spirit of Berkhamstead,Happisburgh ILB D,52.813298,1.556197,Happisburgh ILB D,52.81329817,1.556197324, ,D-607,235085974,D-Class,IB1 variant,IB1,MK2IB1,01/10/2003
OB02002233,ON1208 Trent ALB Samarbeta,Great Yarmouth & Gorleston ALB,52.575248,1.73197,Great Yarmouth & Gorleston ALB,52.5752479,1.731969864,ON1208,14-Oct,232002340,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1995
OB02009611,A-Class IRB No Name,Great Yarmouth & Gorleston ILB A,52.575248,1.73197,Great Yarmouth & Gorleston ILB A,52.5752479,1.731969864, ,A-77, ,A-Class,Arancia New Zealand built,AranciaNZ,MK1Lifeguard,01/06/2011
OB02003124,B-Class A75 Seahorse IV,Great Yarmouth & Gorleston ILB B,52.575248,1.73197,Great Yarmouth & Gorleston ILB B,52.5752479,1.731969864, ,B-786, ,B-Class,Atlantic 75,Atlantic75,MK1Atlantic75,14/02/2007
OB02026432,ON1312 Shannon ALB Patsy Knight,Lowestoft ALB,52.471692,1.752812,Lowestoft ALB,52.4716917,1.752812469,ON1312,13-May,235101098,Shannon,Afloat Boat,AfloatBoat,MK1Shannon,01/01/2016
OB02012493,B-Class A85 Annie Tranmer,Southwold ILB B,52.314983,1.672482,Southwold ILB B,52.314983,1.672481755, ,B-868,235097647,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/04/2013
OB02002095,ON1193 Mersey ALB Freddie Cooper,Aldeburgh ALB,52.152271,1.602616,Aldeburgh ALB,52.15227058,1.602616185,ON1193,Dec-34,232003208,Mersey,Carriage Boat,CarriageBoat,MK1FRCMersey,30/06/1993
OB02027306,D-Class ILB Susan Scott,Aldeburgh ILB D,52.152271,1.602616, , , , ,D-808, ,D-Class,IB1 variant,IB1,MK2IB1,22/03/2017
OB02002071,ON1202 Severn ALB Albert Brown,Harwich ALB,51.948657,1.287184,Harwich ALB,51.94865727,1.287184357,ON1202,17-Mar,232001910,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1994
OB02003149,B-Class A75 Sure and Steadfast,Harwich ILB B,51.948657,1.287184,Harwich ILB B,51.94865727,1.287184357, ,B-789, ,B-Class,Atlantic 75,Atlantic75,MK1Atlantic75,01/10/2002
OB02005603,ON1299 Tamar ALB Irene Muriel Rees,Walton & Frinton ALB,51.847245,1.271192,Walton & Frinton ALB,51.84724519,1.27119165,ON1299,16-19,235069211,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,22/02/2011
OB02010339,B-Class A85 David Porter MPS,Clacton-on-Sea ILB B,51.7815,1.1413,Clacton-on-Sea ILB B,51.7815,1.1413, ,B-863,235092957,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,06/08/2012
OB02006054,D-Class ILB Damarkand IV,Clacton-on-Sea ILB D,51.7815,1.1413,Clacton-on-Sea ILB D,51.7815,1.1413, ,D-723,235096964,D-Class,IB1 variant,IB1,MK2IB1,25/06/2009
OB02012714,B-Class A85 Just George,West Mersea ILB B,51.780337,0.898664,West Mersea ILB B,51.78033652,0.898663509, ,B-879,235106996,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85, 
OB02007125,B-Class A85 Tony and Robert Britt,Burnham-on-Crouch ILB B,51.629185,0.80253,Burnham-on-Crouch ILB B,51.62918472,0.802529991, ,B-849, ,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,10/08/2011
OB02027096,D-Class ILB David and Barbara Chapman,Burnham-on-Crouch ILB D,51.629185,0.80253, , , , ,D-807, ,D-Class,IB1 variant,IB1,MK2IB1,27/02/2017
OB02016846,B-Class A85 Julia and Angus Wright,Southend-on-Sea ILB B,51.532425,0.716346,Southend-on-Sea ILB B,51.53242493,0.716346025, ,B-885, ,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85, 
OB02004779,D-Class ILB The Essex Freemason,Southend-on-Sea ILB D (Wet End),51.532425,0.716346,Southend-on-Sea ILB D (Dry End),51.53242493,0.716346025, ,D-682,235102943,D-Class,IB1 variant,IB1,MK2IB1,01/09/2007
OB02016043,D-Class ILB William Henderson,Southend-on-Sea ILB D (Dry End),51.532425,0.716346, , , , ,D-771,235103263,D-Class,IB1 variant,IB1,MK2IB1,01/08/2014
